ip,port,protocol,anonymity,lastTested,allowsRefererHeader,allowsUserAgentHeader,allowsCustomHeaders,allowsCookies,allowsPost,allowsHttps,country,connectTime,downloadSpeed,secondsToFirstByte,uptime
66.235.200.141,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.152,1230,0.169,99.998
63.141.128.235,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.101,1514,0.138,99.992
63.141.128.215,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.346,566,0.368,99.999
63.141.128.124,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.219,893,0.236,99.994
141.193.213.200,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.229,829,0.253,99.991
63.141.128.205,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.038,3962,0.053,99.998
66.235.200.131,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.209,933,0.224,100
159.112.235.203,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.152,1216,0.172,99.997
141.193.213.163,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.139,1228,0.171,99.995
159.112.235.87,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.201,950,0.22,99.997
63.141.128.68,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.174,1060,0.197,99.995
141.193.213.128,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.156,1141,0.184,99.992
63.141.128.56,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.754,272,0.767,99.997
159.112.235.116,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.308,456,0.459,99.996
63.141.128.19,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.661,308,0.684,99.995
63.141.128.220,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.012,6147,0.034,99.995
141.193.213.149,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.131,1339,0.156,99.995
159.112.235.244,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.292,660,0.316,99.997
141.193.213.29,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.063,1208,0.173,99.991
159.112.235.239,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.001,941,0.222,99.998
141.193.213.9,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.037,3732,0.057,99.99
66.235.200.187,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.069,2178,0.095,99.996
159.112.235.130,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.092,1891,0.112,99.997
66.235.200.219,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.202,946,0.223,99.999
66.235.200.115,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.022,3073,0.069,99.999
63.141.128.226,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.051,2567,0.082,99.993
159.112.235.212,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.274,725,0.289,99.995
66.235.200.15,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.076,2247,0.094,99.997
141.193.213.172,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.063,2679,0.078,99.992
159.112.235.193,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.228,857,0.246,99.997
141.193.213.25,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.013,4265,0.05,99.993
63.141.128.17,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.06,2458,0.086,99.996
63.141.128.174,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.101,1771,0.119,99.996
66.235.200.98,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.059,2670,0.08,99.994
141.193.213.145,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.143,1282,0.163,99.99
159.112.235.114,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.109,1699,0.124,99.993
141.193.213.60,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.114,1645,0.128,99.99
141.193.213.81,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.141,1366,0.154,99.991
159.112.235.64,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.072,2271,0.092,99.993
159.112.235.216,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.318,624,0.333,99.996
63.141.128.177,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.148,1185,0.179,99.995
63.141.128.29,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.192,1019,0.207,99.994
159.112.235.198,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.543,373,0.562,99.997
159.112.235.140,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.045,908,0.229,99.997
63.141.128.107,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.053,2518,0.083,99.997
159.112.235.230,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.116,1525,0.137,99.996
66.235.200.238,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.004,5833,0.036,99.996
141.193.213.98,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.127,1393,0.15,99.994
66.235.200.228,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.022,2000,0.104,99.996
141.193.213.171,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.183,1029,0.203,99.995
141.193.213.179,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.268,738,0.284,99.993
8.219.97.248,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,US,0.156,108,1.884,76.42
66.235.200.26,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.162,1060,0.194,99.997
159.112.235.96,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.045,3301,0.063,99.996
66.235.200.99,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.07,2359,0.089,99.995
66.235.200.67,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.085,677,0.308,99.998
66.235.200.40,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.061,1935,0.109,99.994
141.193.213.187,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.049,1857,0.113,99.992
141.193.213.7,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.235,835,0.25,99.989
159.112.235.4,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.091,1891,0.112,99.997
66.235.200.127,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.453,438,0.479,99.996
66.235.200.172,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.156,1186,0.177,99.998
141.193.213.218,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.112,1603,0.131,99.993
159.112.235.234,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.03,3732,0.056,99.996
66.235.200.202,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.198,647,0.323,99.994
63.141.128.189,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.523,383,0.543,99.995
63.141.128.130,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.09,1944,0.108,99.998
66.235.200.146,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.035,4019,0.052,99.996
63.141.128.146,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.221,881,0.237,99.995
141.193.213.138,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.051,2101,0.099,99.995
159.112.235.129,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.027,4772,0.045,99.996
66.235.200.112,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.169,1098,0.192,99.997
141.193.213.134,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.396,509,0.415,99.989
63.141.128.237,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.028,4354,0.048,99.997
66.235.200.203,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.096,1756,0.12,99.994
159.112.235.232,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.041,3888,0.055,99.995
141.193.213.93,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.328,592,0.353,99.995
63.141.128.45,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.297,640,0.325,99.997
66.235.200.243,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.155,1174,0.178,99.994
141.193.213.201,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.002,8360,0.026,99.991
63.141.128.231,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.253,770,0.27,99.996
66.235.200.159,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.146,1186,0.177,99.994
159.112.235.237,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.186,835,0.249,99.993
63.141.128.245,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.245,789,0.266,99.994
159.112.235.1,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.051,3230,0.065,99.996
66.235.200.148,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.032,3317,0.063,99.997
141.193.213.103,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.083,2121,0.099,99.992
66.235.200.54,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.111,1615,0.13,99.997
159.112.235.108,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.298,600,0.349,99.996
159.112.235.97,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.127,1444,0.145,99.997
63.141.128.223,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.283,677,0.308,99.995
141.193.213.210,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.252,774,0.27,99.993
66.235.200.218,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.102,1794,0.117,99.997
66.235.200.64,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.401,501,0.419,99.995
141.193.213.90,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.101,1583,0.133,99.991
66.235.200.51,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.071,2458,0.085,99.999
63.141.128.67,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.266,747,0.281,99.997
141.193.213.37,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.101,1680,0.125,99.993
66.235.200.224,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.171,1117,0.188,99.994
159.112.235.79,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.087,1953,0.107,99.994
66.235.200.39,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.018,4117,0.051,99.997
66.235.200.83,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.214,912,0.228,99.996
66.235.200.164,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.019,6000,0.036,99.999
141.193.213.115,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.08,2200,0.095,99.995
141.193.213.88,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.02,5675,0.037,99.993
66.235.200.216,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.089,1632,0.128,99.995
159.112.235.225,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.038,3426,0.062,99.997
159.112.235.119,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.075,1962,0.107,99.994
63.141.128.136,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.105,1645,0.128,99.999
159.112.235.141,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.004,8360,0.026,99.995
159.112.235.187,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.12,1567,0.135,99.998
66.235.200.77,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.121,1441,0.146,99.995
66.235.200.197,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.191,1009,0.206,99.999
159.112.235.152,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.297,666,0.312,99.997
159.112.235.138,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.011,8320,0.025,99.994
159.112.235.55,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.049,1685,0.124,99.998
66.235.200.140,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.16,1209,0.173,99.995
66.235.200.138,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.284,697,0.299,99.998
141.193.213.180,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.054,2876,0.073,99.991
141.193.213.44,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.012,7740,0.028,99.992
63.141.128.1,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.048,3134,0.067,99.998
63.141.128.53,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.551,369,0.566,99.993
159.112.235.242,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.078,1793,0.116,99.995
141.193.213.147,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.079,2296,0.092,99.992
159.112.235.213,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.061,2506,0.083,99.997
66.235.200.241,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.301,670,0.314,99.997
66.235.200.114,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.285,687,0.304,99.997
63.141.128.104,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.027,4883,0.044,99.995
66.235.200.21,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.139,1283,0.162,99.996
159.112.235.24,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.296,664,0.317,99.996
159.112.235.99,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.075,2223,0.094,99.996
141.193.213.130,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.173,1066,0.196,99.991
141.193.213.227,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.1,1794,0.118,99.995
63.141.128.251,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.006,5971,0.036,99.996
141.193.213.245,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.058,2177,0.096,99.994
141.193.213.151,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.108,1603,0.132,99.992
159.112.235.32,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.136,1384,0.151,99.998
159.112.235.36,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.149,1229,0.17,99.997
63.141.128.9,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.161,1117,0.189,99.994
159.112.235.71,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.089,1918,0.11,99.995
63.141.128.95,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.197,933,0.225,99.997
63.141.128.121,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.141,1260,0.165,99.995
159.112.235.147,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.236,822,0.254,99.995
141.193.213.8,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.255,757,0.277,99.995
63.141.128.98,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.209,908,0.23,99.996
141.193.213.235,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.069,2370,0.089,99.992
141.193.213.161,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.041,3296,0.064,99.994
63.141.128.160,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.034,4265,0.049,99.993
141.193.213.121,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.107,1699,0.123,99.993
63.141.128.152,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.226,832,0.25,99.994
159.112.235.81,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.152,1236,0.17,99.998
66.235.200.170,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.051,2189,0.095,99.996
141.193.213.188,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.413,483,0.432,99.993
63.141.128.90,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.265,745,0.279,99.994
141.193.213.54,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.11,1339,0.156,99.991
66.235.200.28,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.046,2375,0.088,99.998
63.141.128.227,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.152,1174,0.178,99.994
66.235.200.0,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.04,3281,0.065,99.997
66.235.200.90,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.095,1858,0.114,99.996
159.112.235.127,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.057,1468,0.143,99.995
63.141.128.26,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.038,3836,0.055,99.995
63.141.128.252,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.048,1575,0.132,99.998
63.141.128.86,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.001,11666,0.019,99.993
63.141.128.158,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.113,1645,0.127,99.995
63.141.128.133,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.072,2247,0.094,99.992
63.141.128.194,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.046,2985,0.07,99.993
66.235.200.234,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.149,1066,0.196,99.997
141.193.213.106,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.074,2307,0.091,99.994
66.235.200.235,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.252,765,0.273,99.995
141.193.213.152,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.301,658,0.317,99.992
66.235.200.213,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.093,1900,0.11,99.998
159.112.235.33,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.336,598,0.352,99.996
159.112.235.131,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.242,822,0.254,99.994
159.112.235.31,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.24,821,0.257,99.997
141.193.213.150,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.03,4019,0.052,99.994
63.141.128.127,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.266,732,0.284,99.996
141.193.213.157,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.041,3603,0.059,99.995
141.193.213.234,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.001,6176,0.035,99.994
63.141.128.54,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.11,1627,0.129,99.996
141.193.213.6,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.06,2800,0.076,99.993
66.235.200.186,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.099,1741,0.12,99.996
159.112.235.246,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.154,894,0.236,99.998
66.235.200.139,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.011,6531,0.033,99.996
141.193.213.209,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.01,5833,0.037,99.992
141.193.213.47,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.003,10500,0.02,99.993
63.141.128.37,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.123,1482,0.142,99.996
63.141.128.165,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.101,1741,0.12,99.999
141.193.213.57,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.149,1259,0.167,99.993
141.193.213.246,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.226,804,0.261,99.993
141.193.213.194,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.036,3649,0.058,99.993
63.141.128.89,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.016,7206,0.029,99.996
66.235.200.63,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.02,5358,0.039,99.995
141.193.213.27,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.303,653,0.32,99.991
141.193.213.10,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.556,359,0.581,99.991
159.112.235.61,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.059,2333,0.091,99.997
63.141.128.168,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.143,1316,0.159,99.995
